0.088785	 	 	 0.091603	 	 	 6.421381	 	 1521342416440303201	 
0.153666	 	 	 -0.190840	 	 	 6.601974	 	 1521342416450915661	 
0.227227	 	 	 0.015267	 	 	 6.597339	 	 1521342416459135408	 
0.318509	 	 	 0.015267	 	 	 6.522245	 	 1521342416472048080	 
0.430047	 	 	 -0.091603	 	 	 6.306179	 	 1521342416484739802	 
0.553859	 	 	 0.221374	 	 	 6.171299	 	 1521342416492651931	 
0.725769	 	 	 -0.076336	 	 	 6.495341	 	 1521342416505489747	 
0.898485	 	 	 -0.061069	 	 	 6.240014	 	 1521342416513204068	 
1.129010	 	 	 -0.022901	 	 	 6.291924	 	 1521342416525575934	 
1.354699	 	 	 -0.068702	 	 	 5.929793	 	 1521342416534714313	 
1.625386	 	 	 0.038168	 	 	 6.135712	 	 1521342416545167733	 
1.905072	 	 	 -0.007634	 	 	 6.595079	 	 1521342416552605651	 
2.268110	 	 	 -0.015267	 	 	 6.562230	 	 1521342416565561638	 
2.593284	 	 	 0.083969	 	 	 6.381777	 	 1521342416574605246	 
2.973701	 	 	 0.068702	 	 	 6.329176	 	 1521342416586851792	 
3.292475	 	 	 -0.129771	 	 	 6.352676	 	 1521342416594734476	 
3.704457	 	 	 0.206107	 	 	 6.496790	 	 1521342416607522684	 
4.031219	 	 	 -0.068702	 	 	 6.678995	 	 1521342416615056802	 
4.402547	 	 	 -0.053435	 	 	 6.125768	 	 1521342416627698012	 
4.798645	 	 	 0.015267	 	 	 6.593474	 	 1521342416640346140	 
5.053693	 	 	 0.030534	 	 	 6.474296	 	 1521342416647042724	 
5.391302	 	 	 -0.106870	 	 	 6.299958	 	 1521342416659529447	 
5.621618	 	 	 0.022901	 	 	 6.334688	 	 1521342416667462715	 
5.914167	 	 	 0.076336	 	 	 6.156478	 	 1521342416680020478	 
6.094552	 	 	 0.022901	 	 	 6.036048	 	 1521342416688657750	 
6.352386	 	 	 -0.015267	 	 	 6.284565	 	 1521342416700949077	 
6.516681	 	 	 0.183206	 	 	 6.310251	 	 1521342416709439565	 
6.782460	 	 	 0.030534	 	 	 6.586659	 	 1521342416722712406	 
6.888559	 	 	 -0.061069	 	 	 6.418174	 	 1521342416729735193	 
7.059255	 	 	 -0.152672	 	 	 6.011543	 	 1521342416742648883	 
7.126441	 	 	 0.091603	 	 	 6.002112	 	 1521342416750904915	 
7.261391	 	 	 0.000000	 	 	 6.207726	 	 1521342416762372986	 
7.338123	 	 	 0.030534	 	 	 6.631849	 	 1521342416769725568	 
7.469709	 	 	 -0.030534	 	 	 6.212934	 	 1521342416782180799	 
7.547250	 	 	 -0.015267	 	 	 6.542418	 	 1521342416790977241	 
7.683496	 	 	 -0.290076	 	 	 6.661060	 	 1521342416803475437	 
7.800614	 	 	 0.068702	 	 	 6.572532	 	 1521342416816003525	 
7.823210	 	 	 0.007634	 	 	 6.396569	 	 1521342416824539043	 
7.861980	 	 	 0.000000	 	 	 6.023304	 	 1521342416836471940	 
7.881929	 	 	 0.038168	 	 	 6.539240	 	 1521342416844844006	 
7.931870	 	 	 0.099237	 	 	 6.227685	 	 1521342416857357226	 
7.921760	 	 	 0.038168	 	 	 6.330508	 	 1521342416865728622	 
